S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
103,Cyprus,"65,909",+676,312 ,+4,"39,061",,"26,536",75,"54,261",257,"4,898,791","4,033,042","1,214,664 ",Asia,"183,8930",557,3,"21,846",,,,,
104,Singapore,"61,179",+34,31 ,+1,"60,765",+14,383,,"10,389",5,"9,536,636","1,619,514","5,888,578 ",Asia,"96189,9541",6,0.2,65,,,,,
105,Afghanistan,"60,122",+180,"2,637 ",+6,"53,272",+66,"4,213","1,124","1,516",67,"404,894","10,211","39,652,974 ",Asia,"66015,03798",5,0.2,106,,,,,
106,Namibia,"48,654",+303,643 ,+1,"46,238",+217,"1,773",37,"18,865",249,"388,574","150,668","2,579,003 ",Africa,"534,0117",117,0.4,687,,,,,
107,Botswana,"46,934",,712 ,,"44,960",,"1,262",1,"19,630",298,"999,041","417,850","2,390,908 ",Africa,"513,3582",,,528,,,,,
108,Ivory Coast,"46,114",+78,286 ,,"45,582",+56,246,,"1,713",11,"594,288","22,078","26,917,693 ",Africa,"58494,11845",3,,9,,,,,
109,Jamaica,"45,777",+199,779 ,+1,"21,153",+94,"23,845",22,"15,403",262,"332,706","111,950","2,971,920 ",North America,"653,8159",67,0.3,"8,023",,,,,
110,Uganda,"41,905",+39,342 ,,"41,422",,141,24,893,7,"1,017,854","21,688","46,930,713 ",Africa,"1,120137,22446",0.8,,3,,,,,
111,Senegal,"40,388",+44,"1,109 ",+2,"39,110",+27,169,11,"2,361",65,"481,020","28,117","17,108,079 ",Africa,"42415,42736",3,0.1,10,,,,,
112,Zimbabwe,"38,260",+3,"1,568 ",+1,"35,620",+8,"1,072",12,"2,543",104,"417,583","27,761","15,042,299 ",Africa,"3939,59336",0.2,0.07,71,,,,,
113,Madagascar,"37,296",+282,654 ,+11,"32,111",+541,"4,531",396,"1,319",23,"184,336","6,519","28,278,674 ",Africa,"75843,240153",10,0.4,160,,,,,
114,Mongolia,"37,285","+1,306",115 ,+5,"20,681","+1,039","16,489",119,"11,224",35,"2,710,815","816,011","3,322,033 ",Asia,"8928,8871",393,2,"4,964",,,,,
115,Malawi,"34,095",+17,"1,148 ",,"32,064",+13,883,12,"1,745",59,"233,149","11,933","19,537,996 ",Africa,"57317,01984",0.9,,45,,,,,
116,Sudan,"33,104",,"2,349 ",,"26,795",,"3,960",,741,53,"232,965","5,212","44,695,198 ",Africa,"1,35019,027192",,,89,,,,,
117,Malta,"30,307",+15,415 ,+2,"29,622",+74,270,,"68,487",938,"869,063","1,963,887","442,522 ",Europe,"151,0661",34,5,610,,,,,
118,Maldives,"30,237",+402,73 ,,"24,934",+159,"5,230",90,"55,134",133,"729,127","1,329,485","548,428 ",Asia,"187,5131",733,,"9,536",,,,,
119,DRC,"29,904",+51,768 ,+2,"26,250",+31,"2,886",,326,8,"149,376","1,627","91,804,946 ",Africa,"3,070119,538615",0.6,0.02,31,,,,,
120,Australia,"29,812",+11,910 ,,"28,617",+18,285,1,"1,158",35,"16,884,420","655,822","25,745,436 ",Australia/Oceania,"86428,2922",0.4,,11,,,,,
121,Angola,"26,815",+163,600 ,+4,"23,913",+37,"2,302",10,795,18,"498,853","14,799","33,708,433 ",Africa,"1,25756,18168",5,0.1,68,,,,,
122,Rwanda,"25,225",+109,335 ,,"23,345",+111,"1,545",2,"1,908",25,"1,316,968","99,639","13,217,357 ",Africa,"52439,45510",8,,117,,,,,
123,Cabo Verde,"24,127",+245,220 ,+3,"20,711",+146,"3,196",23,"43,007",392,"151,483","270,023","561,000 ",Africa,"232,5504",437,5,"5,697",,,,,
124,Gabon,"23,075",,139 ,,"19,629",,"3,307",19,"10,169",61,"731,109","322,199","2,269,124 ",Africa,"9816,3253",,,"1,457",,,,,
125,Syria,"22,818",+85,"1,598 ",+6,"16,992",+171,"4,228",,"1,278",90,"103,566","5,801","17,851,800 ",Asia,"78211,171172",5,0.3,237,,,,,
126,Guinea,"22,247",+32,144 ,,"19,685",+15,"2,418",24,"1,657",11,"433,166","32,262","13,426,693 ",Africa,"60493,24131",2,,180,,,,,
127,Réunion,"20,381",,148 ,,"18,659",,"1,574",36,"22,630",164,"101,244","112,416","900,623 ",Africa,"446,0859",,,"1,748",,,,,
128,Mayotte,"20,094",,170 ,,"2,964",,"16,960",3,"72,215",611,"171,277","615,546","278,252 ",Africa,"141,6372",,,"60,952",,,,,
129,French Guiana,"19,543",,101 ,,"9,995",,"9,447",20,"64,060",331,"216,365","709,226","305,072 ",South America,"163,0211",,,"30,966",,,,,
130,French Polynesia,"18,758",,141 ,,"18,597",,20,3,"66,457",500,"26,355","93,372","282,258 ",Australia/Oceania,"152,00211",,,71,,,,,
131,Eswatini,"18,458",,671 ,,"17,748",+5,39,3,"15,774",573,"187,111","159,905","1,170,138 ",Africa,"631,7446",,,33,,,,,
132,Mauritania,"18,429",+27,455 ,,"17,707",+20,267,14,"3,879",96,"234,909","49,449","4,750,525 ",Africa,"25810,44120",6,,56,,,,,
133,Guadeloupe,"14,555",,198 ,,"2,242",,"12,115",18,"36,371",495,"180,000","449,796","400,181 ",North America,"272,0212",,,"30,274",,,,,
134,Somalia,"13,915",,713 ,,"5,847",,"7,355",,856,44,"111,801","6,876","16,258,940 ",Africa,"1,16822,804145",,,452,,,,,
135,Mali,"13,896",+38,485 ,+1,"8,685",+125,"4,726",,670,23,"255,738","12,336","20,731,747 ",Africa,"1,49242,74681",2,0.05,228,,,,,
136,Cambodia,"13,790",+388,97 ,+4,"5,200",+48,"8,493",,815,6,"914,398","54,072","16,910,843 ",Asia,"1,226174,33918",23,0.2,502,,,,,
137,Guyana,"13,404",+121,298 ,+2,"11,299",+91,"1,807",17,"16,973",377,"123,880","156,868","789,709 ",South America,"592,6506",153,3,"2,288",,,,,
138,Burkina Faso,"13,319",+9,157 ,,"13,053",+10,109,,623,7,"179,998","8,421","21,376,120 ",Africa,"1,605136,154119",0.4,,5,,,,,
139,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,370",9,,,"9,714,711 ",Asia,"730107,941",,,,,,,,
140,Andorra,"13,232",,125 ,,"12,684",,423,18,"171,027","1,616","193,595","2,502,262","77,368 ",Europe,66190,,,"5,467",,,,,
141,Haiti,"13,094",,254 ,,"12,148",,692,,"1,137",22,"60,085","5,217","11,517,868 ",North America,"88045,346192",,,60,,,,,
142,Togo,"12,992",+25,123 ,,"11,249",+109,"1,620",,"1,540",15,"311,597","36,923","8,439,039 ",Africa,"65068,61027",3,,192,,,,,
143,Belize,"12,668",,323 ,,"12,218",,127,1,"31,387",800,"117,641","291,476","403,604 ",North America,"321,2503",,,315,,,,,
144,Curaçao,"12,207",+12,110 ,+1,"11,665",+53,432,22,"74,139",668,"95,244","578,460","164,651 ",North America,"131,4972",73,6,"2,624",,,,,
145,Hong Kong,"11,783",+8,210 ,+1,"11,432",+16,141,3,"1,561",28,"11,193,673","1,483,092","7,547,522 ",Asia,"64135,9411",1,0.1,19,,,,,
146,Martinique,"11,253",,75 ,,98,,"11,080",33,"30,006",200,"157,145","419,028","375,023 ",North America,"335,0002",,,"29,545",,,,,
147,Djibouti,"11,121",+21,145 ,+2,"10,748",+40,228,,"11,122",145,"149,630","149,643","999,911 ",Africa,"906,8967",21,2,228,,,,,
148,Papua New Guinea,"11,119",+82,115 ,+8,"9,302",+359,"1,702",,"1,224",13,"93,283","10,265","9,087,299 ",Australia/Oceania,"81779,02097",9,0.9,187,,,,,
149,Trinidad and Tobago,"11,072",+248,171 ,+2,"8,546",+65,"2,355",8,"7,890",122,"131,927","94,015","1,403,260 ",North America,"1278,20611",177,1,"1,678",,,,,
150,Lesotho,"10,731",,316 ,,"6,267",,"4,148",,"4,976",147,"79,490","36,863","2,156,361 ",Africa,"2016,82427",,,"1,924",,,,,
151,Congo,"10,678",,144 ,,"8,208",,"2,326",,"1,897",26,"92,500","16,429","5,630,256 ",Africa,"52739,09961",,,413,,,,,
152,Aruba,"10,650",+12,99 ,,"10,402",+34,149,14,"99,400",924,"148,931","1,390,021","107,143 ",North America,"101,0821",112,,"1,391",,,,,
153,South Sudan,"10,583",,115 ,,"10,312",,156,,936,10,"151,582","13,411","11,302,639 ",Africa,"1,06898,28475",,,14,,,,,
154,Bahamas,"10,453",,199 ,,"9,494",,760,4,"26,372",502,"86,984","219,454","396,365 ",North America,"381,9925",,,"1,917",,,,,
155,Suriname,"10,428",+65,204 ,,"9,359",+23,865,26,"17,645",345,"51,013","86,317","590,998 ",South America,"572,89712",110,,"1,464",,,,,
156,Benin,"7,821",,99 ,,"7,580",,142,35,631,8,"590,214","47,654","12,385,279 ",Africa,"1,584125,10421",,,11,,,,,
157,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,340",78,"123,169","85,479","1,440,927 ",Africa,"18712,86512",,,210,,,,,
158,Nicaragua,"6,898",,182 ,,"4,225",,"2,491",,"1,031",27,,,"6,689,960 ",North America,"97036,758",,,372,,,,,
159,Iceland,"6,472",,29 ,,"6,253",,190,4,"18,864",85,"600,005","1,748,857","343,084 ",Europe,"5311,8301",,,554,,,,,
160,CAR,"6,411",,88 ,,"5,112",,"1,211",2,"1,309",18,"40,907","8,350","4,899,311 ",Africa,"76455,674120",,,247,,,,,
161,Yemen,"6,325",+8,"1,229 ",+3,"2,794",+43,"2,302",23,208,40,"24,923",821,"30,369,014 ",Asia,"4,80124,7101,219",0.3,0.10,76,,,,,
162,Gambia,"5,898",,174 ,,"5,357",,367,3,"2,385",70,"71,116","28,761","2,472,661 ",Africa,"41914,21135",,,148,,,,,
163,Seychelles,"5,873",,28 ,,"5,101",,744,,"59,411",283,"21,504","217,535","98,853 ",Africa,"173,5305",,,"7,526",,,,,
164,Niger,"5,229",+1,191 ,,"4,855",+4,183,18,210,8,"99,176","3,979","24,926,972 ",Africa,"4,767130,508251",0.04,,7,,,,,
165,San Marino,"5,066",,90 ,,"4,917",,59,4,"149,044","2,648","61,499","1,809,326","33,990 ",Europe,73781,,,"1,736",,,,,
166,Chad,"4,824",+7,170 ,,"4,430",+7,224,,287,10,"114,046","6,783","16,814,496 ",Africa,"3,48698,909147",0.4,,13,,,,,
167,Saint Lucia,"4,560",+8,74 ,,"4,368",+5,118,2,"24,739",401,"40,466","219,536","184,325 ",North America,"402,4915",43,,640,,,,,
168,Gibraltar,"4,283",,94 ,,"4,186",+1,3,1,"127,156","2,791","234,751","6,969,421","33,683 ",Europe,83580,,,89,,,,,
169,Sierra Leone,"4,057",+3,79 ,,"3,076",,902,,500,10,"152,747","18,832","8,111,176 ",Africa,"1,999102,67353",0.4,,111,,,,,
170,Channel Islands,"4,055",,86 ,,"3,956",,13,1,"23,146",491,"454,413","2,593,770","175,194 ",Europe,"432,0370",,,74,,,,,
171,Burundi,"4,018",+23,6 ,,773,,"3,239",,330,0.5,"90,019","7,389","12,182,658 ",Africa,"3,0322,030,443135",2,,266,,,,,
172,Barbados,"3,863",+8,44 ,,"3,783",+15,36,,"13,429",153,"153,836","534,769","287,668 ",North America,"746,5382",28,,125,,,,,
173,Comoros,"3,838",+4,146 ,,"3,674",,18,,"4,337",165,,,"884,919 ",Africa,"2316,061",5,,20,,,,,
174,Guinea-Bissau,"3,736",+2,67 ,,"3,327",+12,342,9,"1,862",33,"63,774","31,785","2,006,429 ",Africa,"53729,94731",1.0,,170,,,,,
175,Eritrea,"3,671",,10 ,,"3,492",,169,,"1,023",3,"23,693","6,605","3,587,124 ",Africa,"977358,712151",,,47,,,,,
176,Vietnam,"2,942",+14,35 ,,"2,548",+32,359,,30,0.4,"2,598,753","26,500","98,066,119 ",Asia,"33,3332,801,88938",0.1,,4,,,,,
177,Liechtenstein,"2,936",+10,57 ,,"2,792",,87,6,"76,820","1,491","39,109","1,023,287","38,219 ",Europe,136711,262,,"2,276",,,,,
178,New Zealand,"2,613",,26 ,,"2,564",,23,,522,5,"2,013,539","402,539","5,002,100 ",Australia/Oceania,"1,914192,3882",,,5,,,,,
179,Monaco,"2,457",+3,32 ,,"2,369",+1,56,1,"62,245",811,"51,953","1,316,165","39,473 ",Europe,"161,2341",76,,"1,419",,,,,
180,Timor-Leste,"2,396",+120,3 ,,"1,157",+43,"1,236",,"1,789",2,"66,785","49,868","1,339,228 ",Asia,"559446,40920",90,,923,,,,,
181,Bermuda,"2,393",,28 ,,"1,820",,545,28,"38,543",451,"239,584","3,858,905","62,086 ",North America,"262,2170",,,"8,778",,,,,
182,Turks and Caicos,"2,390",+2,17 ,,"2,343",,30,2,"61,046",434,"55,521","1,418,125","39,151 ",North America,"162,3031",51,,766,,,,,
183,Sao Tome and Principe,"2,302",,35 ,,"2,241",,26,,"10,345",157,"12,999","58,415","222,528 ",Africa,"976,35817",,,117,,,,,
184,Sint Maarten,"2,230",,27 ,,"2,187",,16,1,"51,525",624,"26,359","609,034","43,280 ",North America,"191,6032",,,370,,,,,
185,Liberia,"2,099",,85 ,,"1,949",,65,2,407,16,"95,315","18,487","5,155,897 ",Africa,"2,45660,65854",,,13,,,,,
186,St. Vincent Grenadines,"1,864",,11 ,,"1,719",+4,134,2,"16,758",99,"45,183","406,201","111,233 ",North America,"6010,1122",,,"1,205",,,,,
187,Saint Martin,"1,745",,12 ,,"1,399",,334,7,"44,502",306,"27,588","703,560","39,212 ",North America,"223,2681",,,"8,518",,,,,
188,Isle of Man,"1,589",+2,29 ,,"1,548",,12,1,"18,605",340,"44,761","524,091","85,407 ",Europe,"542,9452",23,,141,,,,,
189,Caribbean Netherlands,"1,559",+1,16 ,,"1,530",+65,13,,"58,997",605,"10,025","379,376","26,425 ",North America,"171,6523",38,,492,,,,,
190,Antigua and Barbuda,"1,232",,32 ,,"1,014",,186,1,"12,495",325,"16,700","169,366","98,603 ",North America,"803,0816",,,"1,886",,,,,
191,Mauritius,"1,211",+2,17 ,,"1,088",+4,106,,951,13,"358,675","281,640","1,273,525 ",Africa,"1,05274,9134",2,,83,,,,,
192,Taiwan,"1,132",+3,12 ,,"1,053",,67,,47,0.5,"539,626","22,623","23,852,669 ",Asia,"21,0711,987,72244",0.1,,3,,,,,
193,Bhutan,"1,106",+32,1  ,,990,+29,115,,"1,420",1,"707,405","908,489","778,661 ",Asia,"704778,6611",41,,148,,,,,
194,St. Barth,974,,1 ,,462,,511,,"98,364",101,"26,385","2,664,613","9,902 ",North America,"109,9020",,,"51,606",,,,,
195,Laos,821,+64, ,,51,,770,,112,,"174,234","23,663","7,363,088 ",Asia,"8,96842",9,,105,,,,,
196,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,,,,
197,Faeroe Islands,664,,1 ,,662,,1,,"13,546",20,"253,211","5,165,779","49,017 ",Europe,"7449,0170",,,20,,,,,
198,Cayman Islands,543,,2 ,,526,,15,,"8,182",30,"90,031","1,356,665","66,362 ",North America,"12233,1811",,,226,,,,,
199,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"61,137,218 ",Africa,"120,1122,911,296",,,5,,,,,
200,Wallis and Futuna,444,,7 ,,44,,393,1,"40,094",632,"15,256","1,377,641","11,074 ",Australia/Oceania,"251,5821",,,"35,489",,,,,
201,Brunei ,227,+3,3 ,,218,+3,6,,515,7,"121,153","274,750","440,958 ",Asia,"1,943146,9864",7,,14,,,,,
202,British Virgin Islands,194,,1 ,,191,,2,,"6,382",33,"38,203","1,256,760","30,398 ",North America,"15730,3981",,,66,,,,,
203,Dominica,174,, ,,172,,2,,"2,412",,"14,936","207,056","72,135 ",North America,4155,,,28,,,,,
204,Grenada,160,,1 ,,158,,1,,"1,416",9,"26,331","233,106","112,957 ",North America,"706112,9574",,,9,,,,,
205,New Caledonia,124,, ,,58,,66,,431,,"30,081","104,529","287,777 ",Australia/Oceania,"2,32110",,,229,,,,,
206,Fiji,119,+2,2 ,,68,+3,49,,132,2,"52,040","57,704","901,844 ",Australia/Oceania,"7,579450,92217",2,,54,,,,,
207,Anguilla,93,, ,,29,,64,,"6,153",,"20,821","1,377,597","15,114 ",North America,1631,,,"4,234",,,,,
208,Falkland Islands,63,, ,,62,,1,,"17,677",,"7,202","2,020,763","3,564 ",South America,570,,,281,,,,,
209,Macao,49,, ,,49,,0,,75,,"4,483","6,827","656,676 ",Asia,"13,402146",,,,,,,,
210,Saint Kitts and Nevis,45,+1, ,,44,,1,,841,,"13,691","255,849","53,512 ",North America,"1,1894",19,,19,,,,,
211,Greenland,31,, ,,31,,0,,545,,"20,669","363,558","56,852 ",North America,"1,8343",,,,,,,,
212,Vatican City,27,, ,,15,,12,,"33,624",,,,803 ,Europe,30,,,"14,944",,,,,
213,Saint Pierre Miquelon,25,, ,,25,,0,,"4,333",,"5,318","921,664","5,770 ",North America,2311,,,,,,,,
214,Montserrat,20,,1 ,,19,,0,,"4,004",200,"1,313","262,863","4,995 ",North America,"2504,9954",,,,,,,,
215,Solomon Islands,20,, ,,20,,0,,29,,"4,500","6,421","700,795 ",Australia/Oceania,"35,040156",,,,,,,,
216,Western Sahara,10,,1 ,,8,,1,,16,2,,,"609,468 ",Africa,"60,947609,468",,,2,,,,,
217,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,,,,
218,Vanuatu,4,,1 ,,3,,0,,13,3,470,"1,501","313,075 ",Australia/Oceania,"78,269313,075666",,,,,,,,
219,Marshall Islands,4,, ,,4,,0,,67,,,,"59,522 ",Australia/Oceania,"14,881",,,,,,,,
220,Samoa,3,, ,,2,,1,,15,,,,"199,510 ",Australia/Oceania,"66,503",,,5,,,,,
221,Saint Helena,2,, ,,2,,0,,328,,,,"6,092 ",Africa,"3,046",,,,,,,,
222,Micronesia,1,, ,,1,,0,,9,,,,"116,024 ",Australia/Oceania,"116,024",,,,,,,,
,Total:,"40,013,564","+498,424","525,962","+5,205","34,280,286","+470,737","5,207,316","33,659",,,,,,Asia, ,,,,,,,,
,Total:,"38,390,846","+57,502","863,084","+1,226","30,110,235","+82,044","7,417,527","17,284",,,,,,North America, ,,,,,,,,
,Total:,"25,021,673","+116,900","676,724","+3,702","22,592,875","+101,164","1,752,074","27,842",,,,,,South America, ,,,,,,,,
,Total:,"44,700,506","+115,169","1,016,744","+2,458","39,549,605","+175,562","4,134,157","29,460",,,,,,Europe, ,,,,,,,,
,Total:,"4,605,195","+7,849","122,387",+284,"4,133,612","+11,329","349,196","3,690",,,,,,Africa, ,,,,,,,,
,Total:,"63,021",+95,"1,202",+8,"59,280",+380,"2,539",5,,,,,,Australia/Oceania, ,,,,,,,,
,Total:,721,,15,,706,,0,0,,,,,,, ,,,,,,,,
,Total:,"152,795,526","+795,939","3,206,118","+12,883","130,726,599","+841,216","18,862,809","111,940","19,602.2",411.3,,,,All,,,,,,,,,
#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
,,Asia,,"39,515,140","+520,195","520,757","+5,239","33,809,549","+438,518","5,184,834","32,447",,,,,,Asia,,,,,,,
,,North America,,"38,333,344","+80,406","861,858","+1,485","30,028,191","+85,339","7,443,295","17,356",,,,,,North America,,,,,,,
,,South America,,"24,904,773","+137,657","673,022","+4,469","22,491,711","+98,287","1,740,040","27,824",,,,,,South America,,,,,,,
,,Europe,,"44,585,337","+125,403","1,014,286","+2,865","39,374,043","+184,749","4,197,008","29,929",,,,,,Europe,,,,,,,
,,Africa,,"4,597,346","+9,558","122,103",+255,"4,122,283","+10,255","352,960","3,781",,,,,,Africa,,,,,,,
,,Oceania,,"62,926",+66,"1,194",,"58,900",+14,"2,832",5,,,,,,Australia/Oceania,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"151,999,587","+873,285","3,193,235","+14,313","129,885,383","+817,162","18,920,969","111,342","19,500",409.7,,,,All,,,,,,,,,
1,China,"90,655",+13,"4,636 ",,"85,691",+9,328,3,63,3,"160,000,000","111,163","1,439,323,776 ",Asia,"15,877310,4679",0.01,,0.2,,,,,
2,USA,"33,103,974","+59,906","590,043 ",+784,"25,710,142","+68,568","6,803,789","9,612","99,526","1,774","446,627,197","1,342,768","332,616,743 ",North America,105641,180,2,"20,455",,,,,
3,India,"19,157,094","+402,110","211,835 ","+3,522","15,673,003","+299,238","3,272,256","8,944","13,769",152,"286,392,086","205,849","1,391,271,798 ",Asia,"736,5685",289,3,"2,352",,,,,
4,Brazil,"14,665,962","+73,076","404,287 ","+2,870","13,194,538","+42,420","1,067,137","8,318","68,592","1,891","43,818,216","204,935","213,815,388 ",South America,155295,342,13,"4,991",,,,,
5,France,"5,616,689","+24,299","104,514 ",+276,"4,540,185","+41,587","971,990","5,675","85,890","1,598","75,976,229","1,161,827","65,393,762 ",Europe,126261,372,4,"14,864",,,,,
6,Turkey,"4,820,591","+31,891","40,131 ",+394,"4,323,897","+68,183","456,563","3,534","56,651",472,"47,261,999","555,419","85,092,490 ",Asia,"182,1202",375,5,"5,365",,,,,
7,Russia,"4,805,288","+8,731","110,128 ",+397,"4,427,946","+8,406","267,214","2,300","32,916",754,"129,100,000","884,328","145,986,588 ",Europe,"301,3261",60,3,"1,830",,,,,
8,UK,"4,416,623","+2,381","127,517 ",+15,"4,214,791","+4,448","74,315",196,"64,776","1,870","156,302,824","2,292,415","68,182,618 ",Europe,155350,35,0.2,"1,090",,,,,
9,Italy,"4,022,652","+13,445","120,807 ",+263,"3,465,676","+15,721","436,169","2,583","66,614","2,001","58,579,752","970,061","60,387,724 ",Europe,155001,223,4,"7,223",,,,,
10,Spain,"3,524,077","+9,135","78,216 ",+136,"3,206,273","+13,303","239,588","2,308","75,349","1,672","46,199,597","987,807","46,769,864 ",Europe,135981,195,3,"5,123",,,,,
11,Germany,"3,392,232","+12,845","83,542 ",+204,"2,995,200","+20,000","313,490","5,049","40,380",994,"55,490,413","660,546","84,006,917 ",Europe,"251,0062",153,2,"3,732",,,,,
12,Argentina,"2,977,363","+22,420","63,865 ",+357,"2,634,306","+26,229","279,192","5,369","65,379","1,402","11,148,350","244,802","45,540,268 ",South America,157134,492,8,"6,131",,,,,
13,Colombia,"2,859,724","+17,790","73,720 ",+490,"2,669,308","+18,665","116,696","6,006","55,709","1,436","14,802,786","288,367","51,333,154 ",South America,186963,347,10,"2,273",,,,,
14,Poland,"2,792,148","+6,802","67,501 ",+428,"2,496,810","+13,030","227,837","2,831","73,843","1,785","14,321,250","378,748","37,812,066 ",Europe,145603,180,11,"6,026",,,,,
15,Iran,"2,499,077","+19,272","71,758 ",+407,"1,954,321","+16,257","472,998","5,398","29,441",845,"15,830,271","186,491","84,884,809 ",Asia,"341,1835",227,5,"5,572",,,,,
16,Mexico,"2,340,934","+3,990","216,447 ",+529,"1,861,861","+3,017","262,626","4,798","17,999","1,664","6,612,450","50,843","130,057,448 ",North America,5660120,31,4,"2,019",,,,,
17,Ukraine,"2,069,537","+10,072","44,085 ",+307,"1,655,525","+20,192","369,927",177,"47,560","1,013","9,418,779","216,452","43,514,481 ",Europe,219875,231,7,"8,501",,,,,
18,Peru,"1,799,445","+7,447","61,477 ",+376,"1,688,091",,"49,877","2,652","53,952","1,843","11,169,530","334,891","33,352,726 ",South America,195433,223,11,"1,495",,,,,
19,Indonesia,"1,668,368","+5,500","45,521 ",+187,"1,522,634","+5,202","100,213",,"6,046",165,"14,640,442","53,060","275,924,964 ",Asia,"1656,06119",20,0.7,363,,,,,
20,Czechia,"1,630,771","+2,225","29,300 ",+38,"1,555,002",+156,"46,469",553,"152,046","2,732","18,138,011","1,691,107","10,725,523 ",Europe,73661,207,4,"4,333",,,,,
21,South Africa,"1,581,210","+1,674","54,350 ",+19,"1,505,620","+1,194","21,240",546,"26,385",907,"10,654,870","177,791","59,929,069 ",Africa,"381,1036",28,0.3,354,,,,,
22,Netherlands,"1,496,352","+7,758","17,148 ",+22,"1,255,490","+7,611","223,714",811,"87,167",999,"12,274,847","715,049","17,166,437 ",Europe,"111,0011",452,1,"13,032",,,,,
23,Canada,"1,219,425","+8,342","24,219 ",+50,"1,111,887","+8,425","83,319","1,422","32,076",637,"31,479,292","828,030","38,017,069 ",North America,"311,5701",219,1,"2,192",,,,,
24,Chile,"1,198,245","+7,254","26,353 ",+106,"1,129,347","+3,586","42,545","3,345","62,238","1,369","13,051,622","677,917","19,252,532 ",South America,167311,377,6,"2,210",,,,,
25,Iraq,"1,065,199","+6,405","15,465 ",+32,"942,046","+7,111","107,688",562,"26,000",377,"9,338,101","227,933","40,968,539 ",Asia,"382,6494",156,0.8,"2,629",,,,,
26,Romania,"1,055,265","+1,636","28,109 ",+138,"989,393","+3,566","37,763","1,284","55,161","1,469","8,257,487","431,638","19,130,567 ",Europe,186812,86,7,"1,974",,,,,
27,Philippines,"1,037,427","+8,715","17,234 ",+89,"946,242","+4,067","73,951",750,"9,364",156,"11,805,080","106,553","110,790,799 ",Asia,"1076,4299",79,0.8,667,,,,,
28,Belgium,"986,622","+3,663","24,185 ",+45,"848,796",,"113,641",886,"84,823","2,079","12,475,193","1,072,527","11,631,588 ",Europe,124811,315,4,"9,770",,,,,
29,Sweden,"973,604",,"14,048 ",+33,"799,710","+8,835","159,846",392,"95,906","1,384","8,482,276","835,558","10,151,626 ",Europe,107231,,3,"15,746",,,,,
30,Israel,"838,481",+74,"6,363 ",+1,"830,625",+95,"1,493",110,"91,163",692,"14,200,104","1,543,894","9,197,590 ",Asia,"111,4451",8,0.1,162,,,,,
31,Portugal,"836,493",+460,"16,974 ",,"795,838",+512,"23,681",89,"82,236","1,669","10,515,374","1,033,765","10,171,918 ",Europe,125991,45,,"2,328",,,,,
32,Pakistan,"820,823","+5,112","17,811 ",+131,"711,465","+3,272","91,547","5,360","3,657",79,"11,788,126","52,522","224,441,715 ",Asia,"27312,60119",23,0.6,408,,,,,
33,Hungary,"779,348","+2,365","27,540 ",+182,"510,379","+6,682","241,429",677,"80,846","2,857","5,373,540","557,427","9,639,899 ",Europe,123502,245,19,"25,045",,,,,
34,Bangladesh,"759,132","+2,177","11,450 ",+57,"681,426","+4,325","66,256",,"4,572",69,"5,469,704","32,940","166,051,909 ",Asia,"21914,50230",13,0.3,399,,,,,
35,Jordan,"711,373","+1,556","8,836 ",+35,"682,503","+1,596","20,034",729,"69,151",859,"6,704,884","651,766","10,287,249 ",Asia,"141,1642",151,3,"1,947",,,,,
36,Serbia,"689,557","+1,613","6,362 ",+25,"635,871","+2,707","47,324",169,"79,186",731,"3,839,381","440,902","8,708,015 ",Europe,"131,3692",185,3,"5,435",,,,,
37,Switzerland,"659,974","+1,831","10,632 ",+7,"590,565","+2,403","58,777",238,"75,796","1,221","6,911,371","793,751","8,707,229 ",Europe,138191,210,0.8,"6,750",,,,,
38,Austria,"618,870","+2,131","10,205 ",+26,"584,777","+2,202","23,888",501,"68,390","1,128","31,892,904","3,524,415","9,049,134 ",Europe,158870,235,3,"2,640",,,,,
39,Japan,"586,938","+5,897","10,194 ",+87,"519,047","+3,487","57,697",978,"4,653",81,"11,831,534","93,787","126,153,600 ",Asia,"21512,37511",47,0.7,457,,,,,
40,Lebanon,"526,578","+1,001","7,278 ",+29,"461,122","+3,364","58,178",586,"77,439","1,070","3,997,716","587,904","6,799,947 ",Asia,139342,147,4,"8,556",,,,,
41,UAE,"520,236","+1,974","1,587 ",+3,"500,779","+1,836","17,870",,"52,078",159,"44,108,915","4,415,501","9,989,561 ",Asia,"196,2950",198,0.3,"1,789",,,,,
